"According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing .",neutral,accord gran  company ha plan move production russia  although company grow ,1
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",positive,last quarter 2010  componenta net sale double eur131m eur76m period year earlier  move zero pretax profit pretax loss eur7m ,2
"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn .",positive,third quarter 2010  net sale increase 52  eur 2055 mn  operate profit 349  eur 235 mn ,2
Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,positive,operate profit rise eur 131 mn eur 87 mn correspond period 2007 represent 77  net sale ,2
"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales .",positive,operate profit total eur 211 mn  eur 186 mn 2007  represent 97  net sale ,2
"Finnish Talentum reports its operating profit increased to EUR 20.5 mn in 2005 from EUR 9.3 mn in 2004 , and net sales totaled EUR 103.3 mn , up from EUR 96.4 mn .",positive,finnish talentum report operate profit increase eur 205 mn 2005 eur 93 mn 2004  net sale total eur 1033 mn  eur 964 mn ,2
"Clothing retail chain Sepp+ñl+ñ 's sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 .",positive,clothe retail chain seppñlñ sale increase 8  eur 1552 mn  operate profit rise eur 311 mn eur 171 mn 2004 ,2
"Consolidated net sales increased 16 % to reach EUR74 .8 m , while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period .",positive,consolidate net sale increase 16  reach eur74 8  operate profit amount eur0 9 compare loss eur0 7 prior year period ,2
"Foundries division reports its sales increased by 9.7 % to EUR 63.1 mn from EUR 57.5 mn in the corresponding period in 2006 , and sales of the Machine Shop division increased by 16.4 % to EUR 41.2 mn from EUR 35.4 mn in the corresponding period in 2006 .",positive,foundry division report sale increase 97  eur 631 mn eur 575 mn correspond period 2006  sale machine shop division increase 164  eur 412 mn eur 354 mn correspond period 2006 ,2
"HELSINKI ( AFX ) - Shares closed higher , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said .",positive,helsinki  afx   share close higher  lead nokia announce plan team sanyo manufacture 3g handset  nokian tyre fourthquarter earn report beat analyst  expectation  dealer say ,2
"Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009 .",positive,board director propose dividend eur0 12 per share 2010  eur0 08 per share pay 2009 ,2
"MegaFon 's subscriber base increased 16.1 % in 2009 to 50.5 million users as of December 31 , while its market share by the number of customers amounted to 24 % as of late 2009 , up from 23 % as of late 2008 , according to TeliaSonera estimates .",positive,megafon subscriber base increase 161  2009 505 million user december 31  market share number customer amount 24  late 2009  23  late 2008  accord teliasonera estimate ,2
"Net income from life insurance doubled to EUR 6.8 mn from EUR 3.2 mn , and net income from non-life insurance rose to EUR 5.2 mn from EUR 1.5 mn in the corresponding period in 2009 .",positive,net income life insurance double eur 68 mn eur 32 mn  net income nonlife insurance rise eur 52 mn eur 15 mn correspond period 2009 ,2
